"Stats Area","Postcode","Year","Area Speed","Entity Code","CSEF Severity","Drugs Involved"
"2 Metropolitan",5035,2019,60,"Driver Rider","3: SI","Y"
"3 Country",5540,2019,100,"Driver Rider","2: MI","Y"
"2 Metropolitan",5163,2019,60,"Driver Rider","2: MI","Y"
"3 Country",5440,2019,110,"Driver Rider","3: SI","Y"
"2 Metropolitan",5107,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5013,2019,70,"Driver Rider","2: MI","Y"
"2 Metropolitan",5168,2019,100,"Driver Rider","3: SI","Y"
"3 Country",5713,2019,110,"Driver Rider","2: MI","Y"
"3 Country",5291,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5162,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5084,2019,50,"Driver Rider","3: SI","Y"
"2 Metropolitan",5109,2019,60,"Driver Rider","3: SI","Y"
"1 City",5000,2019,50,"Driver Rider","1: PDO","Y"
"3 Country",5223,2019,100,"Driver Rider","3: SI","Y"
"3 Country",5700,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5152,2019,90,"Driver Rider","2: MI","Y"
"2 Metropolitan",5112,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5113,2019,50,"Driver Rider","3: SI","Y"
"2 Metropolitan",5042,2019,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5162,2019,60,"Driver Rider","2: MI","Y"
"3 Country",5473,2019,100,"Driver Rider","3: SI","Y"
"3 Country",5291,2019,110,"Driver Rider","4: Fatal","Y"
"2 Metropolitan",5047,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5031,2019,60,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5110,2019,70,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5097,2019,70,"Driver Rider","2: MI","Y"
"2 Metropolitan",5015,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5112,2019,80,"Driver Rider","2: MI","Y"
"3 Country",5255,2019,80,"Animal","2: MI","Y"
"2 Metropolitan",5115,2019,80,"Driver Rider","3: SI","Y"
"2 Metropolitan",5097,2019,50,"Driver Rider","3: SI","Y"
"2 Metropolitan",5160,2019,100,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5044,2019,50,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5035,2019,60,"Other","3: SI","Y"
"2 Metropolitan",5241,2019,80,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5114,2019,100,"Driver Rider","2: MI","Y"
"2 Metropolitan",5016,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5121,2019,110,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5163,2019,80,"Driver Rider","1: PDO","Y"
"3 Country",5501,2019,110,"Driver Rider","4: Fatal","Y"
"2 Metropolitan",5086,2019,60,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5074,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5041,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5113,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5117,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5081,2019,60,"Driver Rider","2: MI","Y"
"2 Metropolitan",5022,2019,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5163,2019,50,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5032,2019,60,"Driver Rider","1: PDO","Y"
"1 City",5006,2019,50,"Driver Rider","3: SI","Y"
"2 Metropolitan",5018,2019,50,"Driver Rider","2: MI","Y"
"3 Country",5355,2019,50,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5033,2019,60,"Driver Rider","2: MI","Y"
"3 Country",5211,2019,100,"Driver Rider","2: MI","Y"
"2 Metropolitan",5023,2019,60,"Driver Rider","1: PDO","Y"
"2 Metropolitan",5042,2019,70,"Driver Rider","2: MI","Y"
"2 Metropolitan",5008,2019,50,"Driver Rider","3: SI","Y"
"2 Metropolitan",5021,2019,60,"Driver Rider","3: SI","Y"
"3 Country",5253,2019,60,"Driver Rider","3: SI","Y"
"2 Metropolitan",5115,2019,50,"Driver Rider","2: MI","Y"
"2 Metropolitan",5067,2019,60,"Driver Rider","2: MI","Y"
